PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	population	color	euro
TCGA-FD-A3B6	0.0076	0.0046	0.0031	0.0074	0.0016	-0.0044	-0.0025	0.0072	0.0016	0.0092	TCGA	#BEBEBE80	TRUE
TCGA-FD-A3NA	0.0076	0.0036	0.0011	0.0083	-7e-04	-0.0055	-0.0023	-0.0276	0.0012	-0.008	TCGA	#BEBEBE80	TRUE
TCGA-FD-A3SJ	0.0073	0.0049	0.0029	8e-04	0.0032	-6e-04	-0.0012	0.0037	-4e-04	0.0017	TCGA	#BEBEBE80	TRUE
TCGA-FD-A3SM	0.0079	0.0046	0.0017	0.0039	-0.0017	-8e-04	-0.0024	-0.0133	-0.0015	-0.0025	TCGA	#BEBEBE80	TRUE
TCGA-FD-A3SO	0.0073	0.0048	0.0035	0.0033	0	-0.003	5e-04	0.0107	0.0046	0.0054	TCGA	#BEBEBE80	TRUE
TCGA-FD-A3SP	0.0065	0.0031	-0.0035	0.0073	2e-04	-0.0043	-0.0015	0.0028	-0.0059	0.0051	TCGA	#BEBEBE80	TRUE
TCGA-FD-A3SR	0.0077	0.0044	0.0025	0.0041	-0.0021	-0.0029	2e-04	-0.008	-2e-04	-0.0029	TCGA	#BEBEBE80	TRUE
TCGA-FD-A3SS	0.0078	0.0052	0.0023	0.0044	0.0026	-3e-04	3e-04	-0.0053	0.0055	9e-04	TCGA	#BEBEBE80	TRUE
TCGA-FD-A43N	0.0077	0.0047	0.0025	0.0054	-0.0039	-6e-04	-0.0013	-0.001	0.0018	-0.0025	TCGA	#BEBEBE80	TRUE
TCGA-FD-A43S	0.007	0.0047	0.0028	-0.0053	0.0031	0.0047	-6e-04	0.0071	-0.0017	-5e-04	TCGA	#BEBEBE80	TRUE
TCGA-FD-A43U	0.0074	0.0046	6e-04	0.0074	-0.0016	-0.0059	3e-04	0.0043	1e-04	0.0047	TCGA	#BEBEBE80	TRUE
TCGA-FD-A43X	0.0078	0.0046	4e-04	0.0066	-0.0012	-0.0052	2e-04	-0.0118	-0.0011	-0.0035	TCGA	#BEBEBE80	TRUE
TCGA-FD-A5BR	0.0077	0.0049	0.0022	0.0075	-7e-04	-0.0057	-0.0043	0.0091	0.0026	0.0052	TCGA	#BEBEBE80	TRUE
TCGA-FD-A5BS	0.0072	0.0047	0.0032	0.0026	2e-04	-2e-04	-0.0042	0.0087	2e-04	0.0064	TCGA	#BEBEBE80	TRUE
TCGA-FD-A5BT	0.0075	0.0052	0.002	0.005	0.0028	0	-5e-04	0.0073	0.0015	0.0052	TCGA	#BEBEBE80	TRUE
TCGA-FD-A5BX	0.0059	0.0047	0.003	-0.0213	0.0065	0.022	-0.0015	0.0031	-7e-04	-0.0113	TCGA	#BEBEBE80	TRUE
TCGA-FD-A62O	0.0078	0.0045	0.001	0.0063	-0.0043	-0.008	-0.001	-0.0263	0.0021	-0.0127	TCGA	#BEBEBE80	TRUE
TCGA-FD-A62P	0.0082	0.0051	0.0028	0.0032	0.0022	6e-04	0.0018	0.0109	0.0032	0.0044	TCGA	#BEBEBE80	TRUE
TCGA-FD-A6TA	0.0077	0.0047	0.0036	0.0079	-2e-04	-0.0069	-0.0034	0.007	-0.0026	4e-04	TCGA	#BEBEBE80	TRUE
TCGA-FD-A6TB	0.0076	0.0044	0.0048	0.0038	0.0032	9e-04	-0.0015	0.0074	0.002	0.0033	TCGA	#BEBEBE80	TRUE
TCGA-FD-A6TD	0.0082	0.0048	6e-04	0.0092	0.0014	-0.0102	6e-04	-0.0056	0.0041	0.0021	TCGA	#BEBEBE80	TRUE
TCGA-FD-A6TE	0.0069	0.0044	0.0039	0.0044	-0.0027	-0.0057	-0.0043	-0.0111	0.001	-0.0051	TCGA	#BEBEBE80	TRUE
TCGA-FD-A6TF	0.0074	0.005	0.0019	0.0036	-8e-04	-0.0016	0	0.0099	0.0014	-8e-04	TCGA	#BEBEBE80	TRUE
TCGA-FD-A6TG	0.0075	0.0045	0.0028	0.0052	0.0026	-8e-04	0.0017	0.0094	0.0027	-0.0014	TCGA	#BEBEBE80	TRUE
TCGA-FD-A6TH	0.0078	0.0043	0.0015	0.0037	-8e-04	-0.003	3e-04	-5e-04	9e-04	-0.0025	TCGA	#BEBEBE80	TRUE
TCGA-FD-A6TI	0.0065	0.0052	0.0041	-0.0195	0.0048	0.0191	0.0011	-0.0067	0.0031	-0.0132	TCGA	#BEBEBE80	TRUE
TCGA-FD-A6TK	0.008	0.0052	-1e-04	0.0043	0.0011	-0.003	-0.0015	0.0112	3e-04	0.005	TCGA	#BEBEBE80	TRUE
TCGA-FJ-A3Z9	0.0075	0.0042	5e-04	0.004	0.001	-0.0038	0.0022	0.0041	-0.0017	0.0035	TCGA	#BEBEBE80	TRUE
TCGA-FJ-A3ZE	0.0076	0.0043	0.0024	0.0072	-0.0023	-0.0059	-0.0021	-0.0063	1e-04	-5e-04	TCGA	#BEBEBE80	TRUE
TCGA-FJ-A3ZF	0.0079	0.0045	0.0025	0.0059	0.0033	-0.0015	-9e-04	0.0116	-0.004	0.0092	TCGA	#BEBEBE80	TRUE
TCGA-FJ-A871	0.0074	0.0049	0.0024	0.0075	-4e-04	-0.0043	6e-04	0.0128	-5e-04	0.0092	TCGA	#BEBEBE80	TRUE
TCGA-FT-A3EE	0.0054	0.0045	0.0059	-0.0307	0.0066	0.0351	-2e-04	-0.016	0.0061	0.0184	TCGA	#BEBEBE80	TRUE
TCGA-FT-A61P	0.0078	0.0045	0.0012	0.0053	0.0016	-0.0043	-0.0013	8e-04	0.0032	-0.0017	TCGA	#BEBEBE80	TRUE
