PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	population	color	euro
TCGA-DU-8167	0.0074	0.0039	6e-04	0.0032	-0.0025	-0.0031	0.0019	-0.015	-3e-04	-0.006	TCGA	#BEBEBE80	TRUE
TCGA-DU-8168	0.0073	0.0042	0.0013	0.0035	-0.0028	-0.0024	-0.0027	-0.0171	-6e-04	0.0036	TCGA	#BEBEBE80	TRUE
TCGA-DU-A76K	0.0052	0.0046	0.0057	-0.0207	0.0033	0.0188	0.0013	0.004	-4e-04	-0.0019	TCGA	#BEBEBE80	TRUE
TCGA-DU-A76L	0.0073	0.0044	0.0013	0.0043	0.0038	8e-04	5e-04	0.0115	-0.0025	0.0085	TCGA	#BEBEBE80	TRUE
TCGA-DU-A76O	0.0074	0.0047	4e-04	0.0064	0.0012	-0.003	-0.0023	-0.011	0.0041	-0.0033	TCGA	#BEBEBE80	TRUE
TCGA-DU-A7T6	0.0077	0.0046	0.0021	0.0034	7e-04	-5e-04	0.0017	0.0064	0.0051	0.0018	TCGA	#BEBEBE80	TRUE
TCGA-DU-A7T8	0.0078	0.0051	0.0022	0.0041	0.0024	0.0015	-0.002	0.007	-0.0015	0.0127	TCGA	#BEBEBE80	TRUE
TCGA-DU-A7TA	0.0079	0.0052	0.001	0.0049	-2e-04	-0.0034	-7e-04	-0.0136	-6e-04	0.0027	TCGA	#BEBEBE80	TRUE
TCGA-DU-A7TC	0.0079	0.005	0.0021	0.0066	-0.0021	-0.0039	0.0023	-0.0085	0.004	0.0044	TCGA	#BEBEBE80	TRUE
TCGA-DU-A7TD	0.0076	0.0045	0.0015	0.004	0.0026	-0.0015	-0.001	0.0026	0.0072	2e-04	TCGA	#BEBEBE80	TRUE
TCGA-DU-A7TG	0.0078	0.0049	0.0024	0.0084	0.0011	-0.0047	-6e-04	0.0066	-8e-04	0.0085	TCGA	#BEBEBE80	TRUE
TCGA-E1-5302	0.0076	0.0049	0.0028	-0.0049	0.0014	0.0056	0.0018	6e-04	0.0041	-0.0013	TCGA	#BEBEBE80	TRUE
TCGA-E1-5303	0.0082	0.0048	0.0037	0.0059	5e-04	-0.0056	-0.0015	0.0123	0.0019	0.0087	TCGA	#BEBEBE80	TRUE
TCGA-E1-5304	0.0075	0.005	0.0029	0.0047	4e-04	-0.0043	-0.0031	0.0124	-0.0022	0.0062	TCGA	#BEBEBE80	TRUE
TCGA-E1-5305	0.0079	0.0045	0.0021	0.0045	0.0016	-0.0015	-7e-04	0.0108	0.0025	0.0035	TCGA	#BEBEBE80	TRUE
TCGA-E1-5307	0.0072	0.0043	0.0025	0.0054	0.0028	-0.0043	-0.001	0.0083	4e-04	0.0069	TCGA	#BEBEBE80	TRUE
TCGA-E1-5311	0.0079	0.005	0.0025	0.0072	0.0018	-0.0042	-4e-04	0.0119	-0.003	0.0058	TCGA	#BEBEBE80	TRUE
TCGA-E1-5318	0.0065	0.005	7e-04	0.0059	0.0022	-0.0015	3e-04	0.0125	0.0025	0.0084	TCGA	#BEBEBE80	TRUE
TCGA-E1-5319	0.0075	0.0047	-7e-04	0.0074	-3e-04	-0.0035	-0.0029	0.0088	-0.0031	0.0064	TCGA	#BEBEBE80	TRUE
TCGA-E1-5322	0.0067	0.0047	0.003	-0.0069	0.0053	0.0116	0.0026	0.0055	-0.0015	-5e-04	TCGA	#BEBEBE80	TRUE
TCGA-E1-A7YO	0.0075	0.0052	0.0017	0.0039	-6e-04	-0.0045	-9e-04	0.0075	0.0017	0.004	TCGA	#BEBEBE80	TRUE
TCGA-E1-A7YV	0.0073	0.0047	0.0017	0.0075	0.0025	-0.0038	-0.001	0.0094	3e-04	0.0022	TCGA	#BEBEBE80	TRUE
TCGA-E1-A7YW	0.0075	0.0049	0.0022	0.0022	0.0011	0.0027	0.0013	-6e-04	0.001	0.0013	TCGA	#BEBEBE80	TRUE
TCGA-E1-A7Z6	0.006	0.0052	0.0038	-0.0198	0.0046	0.0207	0.0027	-8e-04	-4e-04	-0.0101	TCGA	#BEBEBE80	TRUE
TCGA-EZ-7264	0.0076	0.0056	6e-04	0.0076	-0.002	-0.0028	-4e-04	0.0079	-0.0016	0.0118	TCGA	#BEBEBE80	TRUE
TCGA-FG-5963	0.0062	0.0049	0.0046	-0.0092	9e-04	0.0086	0.0032	-0.0023	0.0046	-0.0119	TCGA	#BEBEBE80	TRUE
TCGA-FG-5964	0.0076	0.005	0.001	0.0039	0.0033	-0.0025	-1e-04	0.0108	0.0019	0.0038	TCGA	#BEBEBE80	TRUE
TCGA-FG-5965	0.0072	0.0051	-4e-04	-0.0016	-9e-04	0.004	0.0015	0.0026	-0.0036	-0.0035	TCGA	#BEBEBE80	TRUE
TCGA-FG-6689	0.0072	0.0051	0.0037	0.0064	-0.0021	-0.0058	-0.0024	-0.0221	-0.0025	-0.0053	TCGA	#BEBEBE80	TRUE
TCGA-FG-6690	0.0077	0.0054	0.0016	-0.0011	0.0014	0.0026	-0.0027	0.0021	0.0026	-9e-04	TCGA	#BEBEBE80	TRUE
TCGA-FG-6691	0.0077	0.0056	6e-04	0.0013	5e-04	8e-04	9e-04	-0.007	0.0012	-0.002	TCGA	#BEBEBE80	TRUE
TCGA-FG-6692	0.0076	0.005	0.0021	0.0051	0.0016	-0.0035	2e-04	0.0095	1e-04	0.0076	TCGA	#BEBEBE80	TRUE
TCGA-FG-7634	0.0079	0.0047	0.0028	0.0029	-0.0011	-0.0039	0.0036	-0.001	-0.0012	8e-04	TCGA	#BEBEBE80	TRUE
TCGA-FG-7636	0.0081	0.0055	0.0015	0.0055	-0.0012	-0.0041	-0.0068	0.0091	-0.0013	0.003	TCGA	#BEBEBE80	TRUE
TCGA-FG-7641	0.0077	0.0043	0.0034	0.0072	-9e-04	-0.0019	0.0018	0.008	9e-04	0.0025	TCGA	#BEBEBE80	TRUE
TCGA-FG-7643	0.0081	0.0041	0.0021	0.0032	1e-04	-0.0027	-0.0017	3e-04	0.0014	-0.0056	TCGA	#BEBEBE80	TRUE
TCGA-FG-8181	0.0063	0.0044	0.0017	0.0054	-0.002	-0.001	0.0021	0.0071	-0.0014	0.0037	TCGA	#BEBEBE80	TRUE
TCGA-FG-8182	0.0074	0.0052	0.0042	0.0044	0.0024	-0.0047	0.0012	0.0101	-0.0015	0.0094	TCGA	#BEBEBE80	TRUE
TCGA-FG-8185	0.0075	0.0052	0.0032	0.0011	0.0016	-0.0023	-0.0013	0.0082	-8e-04	-8e-04	TCGA	#BEBEBE80	TRUE
TCGA-FG-8186	0.0075	0.0049	0.0033	0.0032	0.0015	-0.0052	0.0025	-0.0166	-0.0019	-0.0058	TCGA	#BEBEBE80	TRUE
TCGA-FG-8187	0.0075	0.0052	0.0011	0.0048	-6e-04	-0.0027	-0.0011	0.0039	0.0022	-0.0018	TCGA	#BEBEBE80	TRUE
TCGA-FG-8188	0.0077	0.0045	0.0028	0.0048	0.0016	-0.0042	0.0018	0.0031	0.0025	0.0042	TCGA	#BEBEBE80	TRUE
TCGA-FG-8191	0.0081	0.0049	0.0023	0.0042	0.0015	-0.0022	0.0038	0.0072	0.0017	0.0071	TCGA	#BEBEBE80	TRUE
TCGA-FG-A4MW	0.0079	0.0046	8e-04	0.0053	-0.0021	-0.0058	0.0013	0.0067	0.0052	0.0103	TCGA	#BEBEBE80	TRUE
TCGA-FG-A60K	0.0076	0.0045	0.0031	0.0045	-0.0011	-0.0079	4e-04	0.0085	-7e-04	0.0078	TCGA	#BEBEBE80	TRUE
TCGA-FG-A60L	0.0079	0.0046	0.0018	0.0058	0	-0.0047	6e-04	0.0072	0.0015	0.0083	TCGA	#BEBEBE80	TRUE
TCGA-FG-A6IZ	0.0081	0.0044	0.0019	0.0029	0.003	-0.0012	0.0012	0.0072	0.0033	8e-04	TCGA	#BEBEBE80	TRUE
TCGA-FG-A6J1	0.0072	0.0052	0.0012	-0.0016	0.001	0.0012	-0.0017	0.0113	-0.0024	0.0086	TCGA	#BEBEBE80	TRUE
TCGA-FG-A6J3	0.007	0.0046	0.0028	0.0047	3e-04	-0.002	-1e-04	0.0096	0.0013	0.0085	TCGA	#BEBEBE80	TRUE
TCGA-FG-A70Y	0.0075	0.0045	0.0024	0.0055	2e-04	-0.0017	0.001	0.0083	0.0023	0.0065	TCGA	#BEBEBE80	TRUE
TCGA-FG-A713	0.0067	0.0046	3e-04	0.006	-0.0023	-0.0015	-7e-04	0.0109	8e-04	-2e-04	TCGA	#BEBEBE80	TRUE
TCGA-FG-A87Q	0.0077	0.0047	0.0018	0.004	0.0019	5e-04	5e-04	0.0054	0.0031	0.0039	TCGA	#BEBEBE80	TRUE
TCGA-FN-7833	0.0066	0.0049	0.0025	-0.0052	0.0027	0.0058	-0.0014	0.0072	1e-04	0.0082	TCGA	#BEBEBE80	TRUE
TCGA-HT-7469	0.0084	0.0052	0.0025	0.0078	0.0027	-0.0039	9e-04	0.0064	0.0039	0.0094	TCGA	#BEBEBE80	TRUE
TCGA-HT-7470	0.0078	0.005	0.0023	0.0047	-0.0029	-0.0029	-0.0033	3e-04	0.003	0.0021	TCGA	#BEBEBE80	TRUE
TCGA-HT-7471	0.0072	0.0047	0.0027	0.006	0.003	-0.0042	0.0012	0.0151	-0.0015	0.0023	TCGA	#BEBEBE80	TRUE
TCGA-HT-7472	0.0058	0.0026	-0.0052	0.0034	0.0032	-0.0028	-0.0044	0.0028	-0.0017	0.0356	TCGA	#BEBEBE80	TRUE
TCGA-HT-7474	0.0071	0.0051	0.003	-0.0012	0.0029	0.0048	6e-04	-0.0176	0.0029	-0.0102	TCGA	#BEBEBE80	TRUE
TCGA-HT-7475	0.0077	0.0046	0.0043	0.008	-5e-04	-0.0042	-0.0014	0.014	0.0016	0.0096	TCGA	#BEBEBE80	TRUE
TCGA-HT-7477	0.0046	0.0036	0.0055	-0.0299	0.0055	0.0342	0.0034	-0.0195	0.0012	0.0176	TCGA	#BEBEBE80	TRUE
TCGA-HT-7478	0.0067	0.003	-0.008	0.0022	0.0025	-0.0045	-0.0019	0.0067	0.0026	0.0168	TCGA	#BEBEBE80	TRUE
TCGA-HT-7479	0.0074	0.0048	0.0025	0.0052	0.0015	-0.0037	0.0027	0.0083	0.0024	0.0034	TCGA	#BEBEBE80	TRUE
TCGA-HT-7480	0.0078	0.0045	0.0036	0.0024	0.0013	-0.003	3e-04	0	-0.002	0.0026	TCGA	#BEBEBE80	TRUE
TCGA-HT-7481	0.0085	0.0049	0.003	0.0072	0.0014	-0.0011	0.0012	0.01	9e-04	0.0057	TCGA	#BEBEBE80	TRUE
TCGA-HT-7482	0.0077	0.0049	0.0023	0.0032	0.0014	-0.0012	-0.0024	0.0081	-0.0013	0.0024	TCGA	#BEBEBE80	TRUE
TCGA-HT-7485	0.0077	0.0054	0.0014	0.0041	5e-04	-0.0016	-7e-04	0.0102	0.0024	-0.0016	TCGA	#BEBEBE80	TRUE
TCGA-HT-7601	0.008	0.0045	0.0016	0.008	-0.0021	-0.0084	-0.0036	0.0147	-1e-04	0.0107	TCGA	#BEBEBE80	TRUE
TCGA-HT-7603	0.0071	0.0038	0.0037	-0.0023	-1e-04	0.0031	-5e-04	0.0079	0.002	0.0022	TCGA	#BEBEBE80	TRUE
TCGA-HT-7605	0.0068	0.005	0.0023	-0.0102	0.0023	0.0125	-0.0011	0.0058	1e-04	-0.0034	TCGA	#BEBEBE80	TRUE
TCGA-HT-7606	0.0076	0.0047	0.002	0.0084	-3e-04	-0.0053	-5e-04	3e-04	0.0033	-8e-04	TCGA	#BEBEBE80	TRUE
TCGA-HT-7607	0.0074	0.0047	0.0013	0.0057	-0.0015	-0.0022	0.0033	0.0086	-1e-04	0.0092	TCGA	#BEBEBE80	TRUE
TCGA-HT-7609	0.008	0.0049	0.0018	0.0061	-3e-04	-0.0012	-0.0023	-0.0011	-0.0026	1e-04	TCGA	#BEBEBE80	TRUE
TCGA-HT-7610	0.0074	0.0044	0.0026	0.0052	-7e-04	-0.0058	0.0012	0.005	-0.0027	0.007	TCGA	#BEBEBE80	TRUE
TCGA-HT-7611	0.006	0.0032	0.0034	-0.0095	-0.0074	0.008	2e-04	-0.0025	-0.0052	-0.0047	TCGA	#BEBEBE80	TRUE
TCGA-HT-7616	0.0074	0.0048	8e-04	0.0051	-5e-04	-0.0029	0.0017	0.003	-6e-04	5e-04	TCGA	#BEBEBE80	TRUE
TCGA-HT-7620	0.0079	0.0049	0.0023	0.0058	-5e-04	-0.0014	2e-04	-0.0098	-0.0028	8e-04	TCGA	#BEBEBE80	TRUE
TCGA-HT-7676	0.0077	0.005	0.0022	0.0055	0.0017	-0.0044	3e-04	0.0079	0	0.0086	TCGA	#BEBEBE80	TRUE
TCGA-HT-7677	0.0066	0.0043	0.0018	-0.0108	0.0029	0.0128	0.0044	-0.0013	0.0046	0.0126	TCGA	#BEBEBE80	TRUE
TCGA-HT-7681	0.0076	0.0041	0.0032	0.0054	-8e-04	-0.0045	-0.0023	5e-04	-0.001	0.0045	TCGA	#BEBEBE80	TRUE
TCGA-HT-7684	0.0078	0.0046	0.0032	0.0068	0.0012	-0.0063	-9e-04	0.0098	-5e-04	0.0052	TCGA	#BEBEBE80	TRUE
TCGA-HT-7686	0.0073	0.0051	0.0044	-0.0085	0.0036	0.0104	-0.0046	0.0033	0.002	5e-04	TCGA	#BEBEBE80	TRUE
TCGA-HT-7687	0.0081	0.0048	0.0027	0.0048	0.0016	-0.0036	0.0011	0.0028	-0.0022	0.0069	TCGA	#BEBEBE80	TRUE
TCGA-HT-7688	0.0072	0.0045	0.0022	0.0058	0.0016	-0.0026	6e-04	-0.015	0.0021	-0.0075	TCGA	#BEBEBE80	TRUE
TCGA-HT-7689	0.007	0.0045	0.0033	-2e-04	-1e-04	0.0022	5e-04	-0.001	0.0019	-3e-04	TCGA	#BEBEBE80	TRUE
TCGA-HT-7690	0.0079	0.0057	0.0028	0.003	0.0045	0.0018	0.0039	0.016	8e-04	0.0023	TCGA	#BEBEBE80	TRUE
TCGA-HT-7691	0.0071	0.003	-0.0023	0.0053	0.0025	-0.0024	6e-04	0.01	-0.0017	0.0076	TCGA	#BEBEBE80	TRUE
TCGA-HT-7692	0.006	0.0053	0.0039	-0.0146	0.0043	0.0141	0.0011	9e-04	-0.0014	-0.0117	TCGA	#BEBEBE80	TRUE
TCGA-HT-7694	0.0078	0.0046	0.0018	0.004	-0.0015	-0.0032	-1e-04	0.0052	0.0011	0.0083	TCGA	#BEBEBE80	TRUE
TCGA-HT-7695	0.0079	0.0043	0.0028	0.007	-4e-04	-0.0077	-0.0016	0.0133	-0.0022	0.0051	TCGA	#BEBEBE80	TRUE
TCGA-HT-7854	0.0074	0.0044	4e-04	0.0041	-0.0038	-0.004	0.0012	-0.0116	-9e-04	-0.0018	TCGA	#BEBEBE80	TRUE
TCGA-HT-7855	0.0077	0.005	0.0033	0.0047	0.0015	-0.0024	-8e-04	0.0042	0.0012	0.0023	TCGA	#BEBEBE80	TRUE
TCGA-HT-7856	0.0072	0.0042	0.0015	0.0072	0.0017	-0.0058	-9e-04	-0.0064	-3e-04	-1e-04	TCGA	#BEBEBE80	TRUE
TCGA-HT-7858	0.0065	0.0025	-0.0053	0.0049	0.0021	-0.0042	-0.0031	0.0068	0.0014	0.0045	TCGA	#BEBEBE80	TRUE
TCGA-HT-7860	0.0078	0.0047	0.0023	0.0065	0.0032	-0.0021	-6e-04	0.0044	0.0016	0.0021	TCGA	#BEBEBE80	TRUE
TCGA-HT-7873	0.0073	0.0045	-1e-04	0.0044	-5e-04	-0.0034	0	0.0068	-6e-04	0.0059	TCGA	#BEBEBE80	TRUE
TCGA-HT-7874	0.0077	0.0048	8e-04	0.006	4e-04	-9e-04	-4e-04	0.0055	0.0023	0.0049	TCGA	#BEBEBE80	TRUE
TCGA-HT-7875	0.008	0.0045	0.0033	0.0037	0.0015	0.0013	-0.0027	0.0066	9e-04	0.0057	TCGA	#BEBEBE80	TRUE
TCGA-HT-7877	0.0071	0.005	0.0039	0.0024	0.0012	-0.004	0.0021	-0.0015	8e-04	0.0036	TCGA	#BEBEBE80	TRUE
TCGA-HT-7879	0.0069	0.0048	0.0021	0.0054	2e-04	-0.0044	-0.0023	0.0065	0.0019	-0.0015	TCGA	#BEBEBE80	TRUE
TCGA-HT-7880	0.0078	0.0047	0.0024	0.0048	-6e-04	-0.0028	3e-04	0.0032	-0.0015	0.004	TCGA	#BEBEBE80	TRUE
TCGA-HT-7884	0.0077	0.0046	0.0022	0.0043	0.0019	-0.0017	2e-04	0.0092	-0.0032	0.0064	TCGA	#BEBEBE80	TRUE
TCGA-HT-7902	0.0066	0.0045	0.0011	-0.0054	8e-04	0.0058	0.0021	0.0076	8e-04	0.0057	TCGA	#BEBEBE80	TRUE
TCGA-HT-8011	0.008	0.0052	0.0019	0.0061	5e-04	-3e-04	-0.0021	0.0087	7e-04	0.0018	TCGA	#BEBEBE80	TRUE
TCGA-HT-8012	0.0067	0.0042	-8e-04	0.0022	8e-04	0.0021	-0.0025	0.0086	-0.0032	0.0048	TCGA	#BEBEBE80	TRUE
TCGA-HT-8013	0.0065	0.0048	0.004	-0.0097	0.0017	0.0141	0.0039	-0.0028	0.004	-0.0016	TCGA	#BEBEBE80	TRUE
TCGA-HT-8015	0.0077	0.0047	0.0043	0.0028	-7e-04	1e-04	0.001	-0.0056	0.0035	-0.0019	TCGA	#BEBEBE80	TRUE
TCGA-HT-8018	0.0076	0.0055	0.0023	0.0051	0.0018	-0.0039	0.0015	0.0073	0.0019	0.0056	TCGA	#BEBEBE80	TRUE
TCGA-HT-8019	0.0071	0.004	0.0032	-0.003	5e-04	0.0048	-0.002	0.0058	0.0027	0.0149	TCGA	#BEBEBE80	TRUE
TCGA-HT-8104	0.0079	0.006	0.0013	0.001	0.0016	0.0014	3e-04	0.0085	-0.0018	8e-04	TCGA	#BEBEBE80	TRUE
TCGA-HT-8105	0.0077	0.0048	0.0024	0.0049	5e-04	-0.002	-4e-04	0.0138	-7e-04	0.0074	TCGA	#BEBEBE80	TRUE
TCGA-HT-8106	0.0069	0.0042	0.0027	0.0055	0.0023	-0.0026	5e-04	2e-04	-0.001	0.0035	TCGA	#BEBEBE80	TRUE
TCGA-HT-8107	0.0078	0.0047	0.0022	-7e-04	0.0027	0.0028	0.0034	-0.004	0.0033	-0.0055	TCGA	#BEBEBE80	TRUE
TCGA-HT-8108	0.0074	0.0042	0.0013	0.0044	0.0023	8e-04	-0.0029	0.0021	0.0024	-7e-04	TCGA	#BEBEBE80	TRUE
TCGA-HT-8109	0.0067	0.0042	0.0037	4e-04	0.0022	-0.0012	-0.0024	0.0061	0.0049	0.0022	TCGA	#BEBEBE80	TRUE
TCGA-HT-8110	0.0079	0.0043	0.0036	0.0109	-0.0015	-0.0085	-0.0023	-0.0019	1e-04	1e-04	TCGA	#BEBEBE80	TRUE
TCGA-HT-8111	0.0071	0.0041	0.0031	0.0078	4e-04	-0.0032	0.0022	0.0084	-0.0023	0.0031	TCGA	#BEBEBE80	TRUE
TCGA-HT-8114	0.0076	0.0043	0.0029	0.0063	-2e-04	-0.0049	-0.0022	-0.0067	-0.0011	0.0029	TCGA	#BEBEBE80	TRUE
TCGA-HT-8563	0.0077	0.0048	0.0021	0.0069	0.0023	-0.0044	-1e-04	-7e-04	-0.0031	9e-04	TCGA	#BEBEBE80	TRUE
TCGA-HT-A5R7	0.0074	0.0046	0.0016	0.001	-0.0024	-6e-04	0.0015	0.0059	-8e-04	0.0104	TCGA	#BEBEBE80	TRUE
TCGA-HT-A5R9	0.0078	0.0046	0.0021	0.0059	0.0033	-0.005	0.0017	0.0109	-0.0023	0.0046	TCGA	#BEBEBE80	TRUE
TCGA-HT-A5RA	0.0069	0.0049	0.0038	-0.0035	0.0014	0.0058	0.0011	-0.0258	-9e-04	-0.0077	TCGA	#BEBEBE80	TRUE
TCGA-HT-A5RC	0.0074	0.0036	-2e-04	0.0046	-0.0012	-0.0054	4e-04	-0.0335	0.002	-0.0085	TCGA	#BEBEBE80	TRUE
TCGA-HT-A614	0.0079	0.0054	0.003	0.0086	6e-04	-0.0019	-0.0015	0.0109	0.003	0.0038	TCGA	#BEBEBE80	TRUE
TCGA-HT-A615	0.0071	0.0046	0.0013	-0.0091	0.0036	0.006	0.0013	0.0053	3e-04	-0.0079	TCGA	#BEBEBE80	TRUE
TCGA-HT-A616	0.0077	0.0054	-7e-04	0.0049	0.0012	-0.0015	-0.0023	0.01	0.0031	0.0041	TCGA	#BEBEBE80	TRUE
TCGA-HT-A618	0.0049	0.0043	0.0061	-0.0311	0.0068	0.0355	0.0027	-0.0165	0.0058	0.0181	TCGA	#BEBEBE80	TRUE
TCGA-HT-A61B	0.0072	0.0049	0.0029	-0.0044	0.0027	0.0084	0.0038	0.0081	-0.0021	0.0088	TCGA	#BEBEBE80	TRUE
TCGA-HT-A61C	0.0078	0.0044	0.002	0.0059	7e-04	-7e-04	-0.0036	5e-04	0.0037	0.0032	TCGA	#BEBEBE80	TRUE
TCGA-HT-A74H	0.0085	0.005	0.001	0.0046	-6e-04	-0.0024	1e-04	0.009	-9e-04	0.0045	TCGA	#BEBEBE80	TRUE
TCGA-HT-A74J	0.0074	0.0047	-9e-04	0.0065	-0.0027	-0.0048	0.0015	-0.0011	-0.0017	7e-04	TCGA	#BEBEBE80	TRUE
TCGA-HT-A74O	0.0078	0.0045	0.0016	0.0077	0.0019	-0.0081	-0.0021	-0.0137	-6e-04	2e-04	TCGA	#BEBEBE80	TRUE
TCGA-HW-7486	0.0084	0.0046	0.0022	0.0045	0.0032	-0.0027	-0.0013	0.0042	4e-04	0.0028	TCGA	#BEBEBE80	TRUE
TCGA-HW-7487	0.0081	0.0047	-0.0012	0.0071	-0.0024	-0.0082	-0.0053	0.0093	0.0031	0.013	TCGA	#BEBEBE80	TRUE
TCGA-HW-7489	0.0059	0.0051	0.0033	-0.0202	0.0028	0.0214	0.0018	-0.0081	0.0031	-0.0102	TCGA	#BEBEBE80	TRUE
TCGA-HW-7490	0.0051	0.0047	0.0041	-0.0302	0.0064	0.0311	7e-04	-0.0143	0.0068	0.0157	TCGA	#BEBEBE80	TRUE
TCGA-HW-7491	0.0058	0.0052	0.003	-0.0095	0.0053	0.0088	-3e-04	0.0047	-5e-04	-8e-04	TCGA	#BEBEBE80	TRUE
TCGA-HW-7493	0.0077	0.0052	0.0017	0.0069	-0.0014	-0.0034	-0.0013	0.0084	0.0022	0.0021	TCGA	#BEBEBE80	TRUE
TCGA-HW-7495	0.0053	0.0045	0.0058	-0.0304	0.0071	0.0372	0.004	-0.0154	0.0081	0.0174	TCGA	#BEBEBE80	TRUE
TCGA-HW-8319	0.0056	0.0051	0.0063	-0.0331	0.0095	0.0376	4e-04	-0.0143	0.0025	0.0136	TCGA	#BEBEBE80	TRUE
TCGA-HW-8320	0.008	0.0048	0.0038	0.0024	0.0013	0.0025	4e-04	0.0067	0	3e-04	TCGA	#BEBEBE80	TRUE
TCGA-HW-8321	0.0072	0.0042	0.0021	6e-04	-9e-04	4e-04	8e-04	0.0116	0.0017	0.0039	TCGA	#BEBEBE80	TRUE
TCGA-HW-8322	0.0063	0.0044	0.0034	-0.0215	0.004	0.0236	-0.0037	-0.0021	0.0019	-0.0176	TCGA	#BEBEBE80	TRUE
TCGA-HW-A5KK	0.0059	0.0052	0.0053	-0.0201	0.0035	0.0212	-5e-04	0.0022	0.0028	-0.0102	TCGA	#BEBEBE80	TRUE
TCGA-HW-A5KL	0.0056	0.0052	0.0055	-0.0201	0.0063	0.0188	0.0031	0.0025	0.0034	-0.0113	TCGA	#BEBEBE80	TRUE
TCGA-IK-8125	0.0077	0.0043	0.0032	0.0072	-0.0032	-0.0072	7e-04	0.0046	9e-04	0.0083	TCGA	#BEBEBE80	TRUE
TCGA-KT-A7W1	0.0071	0.0045	0.0016	0.0015	0.0019	4e-04	0.0016	0.0089	-5e-04	0.0169	TCGA	#BEBEBE80	TRUE
TCGA-P5-A5EX	0.0066	0.0042	0.0014	0.0064	-0.0047	-0.0062	-0.0028	-0.038	-0.0065	0.0078	TCGA	#BEBEBE80	TRUE
TCGA-P5-A5EZ	0.0076	0.0031	5e-04	0.0092	-0.0056	-0.0104	0.0029	-0.0466	0.0016	-0.0073	TCGA	#BEBEBE80	TRUE
TCGA-P5-A5F1	0.0063	0.0018	-4e-04	0.0101	-0.003	-0.0127	-0.0011	-0.0359	-0.0088	0.0173	TCGA	#BEBEBE80	TRUE
TCGA-P5-A5F2	0.0075	0.0042	0.0022	0.0095	-0.0017	-0.0122	0.0014	-0.0431	-0.0058	-0.0106	TCGA	#BEBEBE80	TRUE
TCGA-P5-A5F4	0.0073	0.0024	4e-04	0.0088	-7e-04	-0.01	8e-04	-0.0388	-0.0048	-0.008	TCGA	#BEBEBE80	TRUE
TCGA-P5-A5F6	0.0069	0.0023	-0.0021	0.0104	-0.0032	-0.012	0.0049	-0.0387	-0.0095	-0.0058	TCGA	#BEBEBE80	TRUE
TCGA-P5-A72U	0.0051	0.0039	0.0049	-0.0333	0.0077	0.0384	0.0036	-0.0163	0.005	0.0224	TCGA	#BEBEBE80	TRUE
TCGA-P5-A72W	0.0069	0.0011	-0.0022	0.0068	-0.0033	-0.0102	0.0049	-0.0342	-0.0033	-0.0022	TCGA	#BEBEBE80	TRUE
TCGA-P5-A72Z	0.0076	0.0039	0.0018	0.0084	-0.0014	-0.0085	-1e-04	-0.0424	-0.0032	-0.0112	TCGA	#BEBEBE80	TRUE
TCGA-P5-A730	0.0066	0.0017	-5e-04	0.0098	-0.0045	-0.0111	2e-04	-0.0354	6e-04	0.0021	TCGA	#BEBEBE80	TRUE
TCGA-P5-A731	0.0076	0.0025	-7e-04	0.0108	-0.0017	-0.0132	-8e-04	-0.0347	-0.0031	-0.0109	TCGA	#BEBEBE80	TRUE
TCGA-P5-A733	0.0076	0.0027	-0.0014	0.0109	-0.0051	-0.0108	0.0037	-0.04	-0.0044	-0.0084	TCGA	#BEBEBE80	TRUE
TCGA-QH-A65R	0.0072	0.0049	0.0038	-0.0119	0.0099	0.0176	0.0021	0.0099	0.0021	-0.0083	TCGA	#BEBEBE80	TRUE
TCGA-QH-A65S	0.006	0.005	0.004	-0.0235	0.0073	0.0218	3e-04	0.0065	0.005	-0.0127	TCGA	#BEBEBE80	TRUE
TCGA-QH-A65V	0.0056	0.0052	0.0032	-0.0274	0.004	0.0246	-0.0024	0.0034	0.0032	-0.0091	TCGA	#BEBEBE80	TRUE
TCGA-QH-A65X	0.0058	0.0049	0.0059	-0.023	0.0032	0.0234	-8e-04	0.0019	-3e-04	-0.0121	TCGA	#BEBEBE80	TRUE
TCGA-QH-A65Z	0.0071	0.0045	0.004	-0.0081	0.0027	0.0104	-0.0016	-0.0014	2e-04	-0.0095	TCGA	#BEBEBE80	TRUE
TCGA-QH-A6CS	0.0065	0.0047	0.006	-0.0179	0.0092	0.0207	-1e-04	0.0051	3e-04	-0.0051	TCGA	#BEBEBE80	TRUE
TCGA-QH-A6CU	0.0062	0.0056	0.005	-0.0139	0.015	0.0249	0.0023	0.0184	0.0022	-0.0152	TCGA	#BEBEBE80	TRUE
TCGA-QH-A6CW	0.0062	0.0049	0.0045	-0.0243	0.0058	0.0221	0.0019	4e-04	-0.0015	-0.0104	TCGA	#BEBEBE80	TRUE
TCGA-QH-A6CX	0.0062	0.0044	0.0063	-0.0211	0.0047	0.0217	0.0019	-2e-04	0.0013	-0.015	TCGA	#BEBEBE80	TRUE
TCGA-QH-A6CY	0.006	0.0047	0.0039	-0.0212	0.0043	0.0209	0.0013	0.0054	6e-04	-0.0026	TCGA	#BEBEBE80	TRUE
